,VR1:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR2:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR3:VRF Heat Pump Condenser Inlet Temperature [C](Hourly),VR4:VRF Heat Pump Condenser Inlet Temperature [C](Hourly)
2013-10-29 01:00:00,26.091666666666697,26.091666666666697,26.091666666666697,26.091666666666697
2013-10-29 02:00:00,25.5083333333333,25.5083333333333,25.5083333333333,25.5083333333333
2013-10-29 03:00:00,25.2416666666667,25.2416666666667,25.2416666666667,25.2416666666667
2013-10-29 04:00:00,24.85,24.85,24.85,24.85
2013-10-29 05:00:00,24.6,24.6,24.6,24.6
2013-10-29 06:00:00,24.716666666666697,24.716666666666697,24.716666666666697,24.716666666666697
2013-10-29 07:00:00,24.6833333333333,24.6833333333333,24.6833333333333,24.6833333333333
2013-10-29 08:00:00,25.4166666666667,25.4166666666667,25.4166666666667,25.4166666666667
2013-10-29 09:00:00,26.5833333333333,26.5833333333333,26.5833333333333,26.5833333333333
2013-10-29 10:00:00,27.5541666666667,27.5541666666667,27.5541666666667,27.5541666666667
2013-10-29 11:00:00,28.5041666666667,28.5041666666667,28.5041666666667,28.5041666666667
2013-10-29 12:00:00,29.716666666666697,29.716666666666697,29.716666666666697,29.716666666666697
2013-10-29 13:00:00,30.533333333333303,30.533333333333303,30.533333333333303,30.533333333333303
2013-10-29 14:00:00,31.341666666666697,31.341666666666697,31.341666666666697,31.341666666666697
2013-10-29 15:00:00,31.216666666666697,31.216666666666697,31.216666666666697,31.216666666666697
2013-10-29 16:00:00,30.0416666666667,30.0416666666667,30.0416666666667,30.0416666666667
2013-10-29 17:00:00,28.5083333333333,28.5083333333333,28.5083333333333,28.5083333333333
2013-10-29 18:00:00,27.216666666666697,27.216666666666697,27.216666666666697,27.216666666666697
2013-10-29 19:00:00,26.625,26.625,26.625,26.625
2013-10-29 20:00:00,26.4416666666667,26.4416666666667,26.4416666666667,26.4416666666667
2013-10-29 21:00:00,25.9333333333333,25.9333333333333,25.9333333333333,25.9333333333333
2013-10-29 22:00:00,25.1333333333333,25.1333333333333,25.1333333333333,25.1333333333333
2013-10-29 23:00:00,24.654166666666697,24.654166666666697,24.654166666666697,24.654166666666697
2013-10-30 00:00:00,24.404166666666697,24.404166666666697,24.404166666666697,24.404166666666697
2013-10-30 01:00:00,24.1833333333333,24.1833333333333,24.1833333333333,24.1833333333333
2013-10-30 02:00:00,24.275,24.275,24.275,24.275
2013-10-30 03:00:00,24.225,24.225,24.225,24.225
2013-10-30 04:00:00,23.8666666666667,23.8666666666667,23.8666666666667,23.8666666666667
2013-10-30 05:00:00,23.466666666666697,23.466666666666697,23.466666666666697,23.466666666666697
2013-10-30 06:00:00,23.1833333333333,23.1833333333333,23.1833333333333,23.1833333333333
2013-10-30 07:00:00,23.5666666666667,23.5666666666667,23.5666666666667,23.5666666666667
2013-10-30 08:00:00,23.783333333333303,23.783333333333303,23.783333333333303,23.783333333333303
2013-10-30 09:00:00,24.8666666666667,24.8666666666667,24.8666666666667,24.8666666666667
2013-10-30 10:00:00,27.1,27.1,27.1,27.1
2013-10-30 11:00:00,28.275,28.275,28.275,28.275
2013-10-30 12:00:00,28.575,28.575,28.575,28.575
2013-10-30 13:00:00,28.5833333333333,28.5833333333333,28.5833333333333,28.5833333333333
2013-10-30 14:00:00,27.8,27.8,27.8,27.8
2013-10-30 15:00:00,26.8333333333333,26.8333333333333,26.8333333333333,26.8333333333333
2013-10-30 16:00:00,26.266666666666698,26.266666666666698,26.266666666666698,26.266666666666698
